股票代码,营业收入,营业利润,利润总额,净利润,总资产,固定资产,净资产收益率,每股净资产,每股资本公积,每股收益,年度
300654.SZ,432962210.87,52978894.05,49909449.81,35605959.55,1041883057.3,47681743.74,5.522,3.6679,1.5653,0.17,2022
600513.SH,1955156781.66,187046184.25,189052970.81,141370528.08,2714939149.33,937503715.42,11.6607,4.4111,0.9366,0.49,2022
002812.SZ,12590925529.68,4769418572.07,4765144121.27,4000461964.37,38622731492.57,14306873399.88,25.353,19.8069,8.6119,4.48,2022
300700.SZ,642699713.24,102340719.97,102158552.22,90958469.34,1531865936.92,583143350.63,15.036,6.2078,3.7135,0.77,2022
600873.SH,27937152798.85,5160178805.45,5152795044.39,4406312397.53,24490222471.46,9911708010.15,36.5098,4.4425,0.6341,1.44,2022
920547.BJ,387422474.29,75655018.65,75243240.41,64982805.86,418778341.22,,22.6577,7.3627,3.5649,1.4205,2022
600681.SH,5009584060.46,585873357.4,585836595.93,391193111.49,7825635587.06,3936364341.77,10.3175,2.6951,0.3637,0.29,2022
600605.SH,108483750.1,16716073.58,17631659.18,9267953.76,2288206146.2,5559796.09,0.8251,5.4552,2.6327,0.0449,2022
002240.SZ,12039233744.51,6754700082.65,6737247913.98,5552455399.85,18430744512.83,2320201281.6,62.3045,13.9553,6.0624,6.4,2022
605090.SH,23953640233.96,1244522794.06,1270407230.87,1089925387.25,11309351401.89,2245222084.88,17.1913,10.7812,5.057,1.76,2022
301179.SZ,863436291.42,299083002.8,298984402.6,226660543.78,2862855274.95,20901356.6,10.8283,16.5364,10.4327,1.72,2022
002668.SZ,7842731367.72,1068683004.58,1044245030.4,423655912.32,6591388505.83,777919569.3,66.2876,0.7765,1.5275,0.39,2022
601068.SH,23697328916.22,298559022.31,284974602.42,112506304.8,47391288591.87,2313140998.19,1.4836,1.7222,0.3107,-0.0036,2022
002741.SZ,3302329204.64,85576356.12,83098095.08,116867486.68,3728738074.01,1230686072.68,6.9804,4.4429,1.6761,0.3,2022
300796.SZ,768072342.96,190727661.2,183093553.91,152884832.89,2100743391.28,363206925.99,11.4266,8.0098,4.9049,0.79,2022
603305.SH,4453710589.96,784378463.41,782487741.29,701253184.28,9623703864.14,2923074364.42,15.1364,8.4199,4.442,1.1,2022
688502.SH,438725372.59,63573154.37,63656121.41,59014811.32,584175979.27,136561550.66,17.5358,9.1922,2.0128,1.4903,2022
605377.SH,3436401576.53,532846258.98,532406005.4,467335090.53,5519651980.4,920775147.43,15.1841,10.8589,5.8283,1.46,2022
000001.SZ,179895000000.0,57475000000.0,57253000000.0,45516000000.0,5321514000000.0,11083000000.0,10.966,18.7951,4.1645,2.2,2022
002056.SZ,19450638161.91,1769165662.92,1659380530.12,1669265497.69,17609892841.81,4588438996.75,23.0561,4.7643,,1.03,2022
300896.SZ,1938838363.7,1488201141.16,1488307963.82,1263558415.71,6258547700.17,195024321.61,23.2366,27.0204,15.7681,5.84,2022
600050.SH,354943879228.0,20401492655.0,20367453785.0,7299489574.0,644687027607.0,303280249147.0,4.8088,4.8537,2.5727,0.234,2022
301386.SZ,477793306.52,89848597.25,90001109.59,80536201.77,765429633.51,148607350.47,14.3446,5.7305,1.4343,0.767,2022
603166.SH,1134731234.5,62945917.95,62962661.52,65590196.36,3245323212.78,1516556110.64,2.6136,3.6851,1.9634,0.1,2022
001205.SZ,868190366.74,199118418.49,200820926.2,169079342.86,2797601517.82,1889734419.65,12.1197,8.647,4.3245,1.0029,2022
300354.SZ,367082438.42,136203028.56,136006109.78,121774983.07,692310717.17,114241398.97,22.2527,4.3362,0.8222,0.88,2022
603929.SH,3039209778.11,176276397.07,179842422.87,150535620.88,2572991736.14,60729924.1,13.6328,5.4906,1.2008,0.71,2022
002667.SZ,1185946801.48,257378287.06,258458045.17,82394146.56,2608047731.43,578162356.22,11.2468,3.2223,1.6753,0.36,2022
603153.SH,3557707493.13,349707299.22,348194233.25,275629841.4,4105126830.52,755033053.41,11.0595,7.4061,3.0185,0.78,2022
600989.SH,28429848345.48,7719881460.69,7307387220.84,6302502368.25,57578314322.1,26412077995.35,19.5231,4.6193,0.9911,0.86,2022
300750.SZ,328593987500.0,36821983000.0,36672856200.0,30729163500.0,600952351900.0,89070834700.0,24.6826,67.341,36.3987,12.9178,2022
000408.SZ,8193913458.11,6632185351.7,6593009612.4,5654872860.71,13536459913.32,2850020703.28,52.4145,7.6711,1.1957,3.57,2022
600321.SH,680243355.31,-183881883.47,-186397436.7,-193325888.47,5067267236.41,656380042.44,-11.0385,1.0519,0.6756,-0.1281,2022
000739.SZ,10544905377.17,1011622525.99,1012065133.35,989173675.64,12016599023.18,3066084000.46,18.7133,4.6769,0.3717,0.8425,2022
603103.SH,1426842534.72,-335861974.81,-317199416.92,-317429302.45,4520335063.62,729855894.01,-23.8127,1.8516,0.8965,-0.5,2022
603606.SH,7008925593.41,957306609.32,960434270.3,842351404.95,9187807605.63,1723089520.67,16.2372,7.9887,1.8968,1.22,2022
920261.BJ,6305616269.01,233525504.53,226093303.84,191919925.62,2167591395.07,712312613.33,16.3605,4.6368,0.0069,0.73,2022
603303.SH,4656894422.94,313765811.03,369030009.44,340487311.61,5025588799.88,764122955.18,10.6953,6.8588,1.4984,0.7139,2022
603881.SH,1455395832.12,146275044.23,145145456.94,114907982.25,7446730918.35,4889547090.66,3.827,9.1709,5.8266,0.35,2022
600063.SH,9942001713.5,1586391080.26,1515608581.54,1369281540.52,13245451815.21,4257525770.49,19.4595,3.5879,0.7762,0.68,2022
000915.SZ,2341075595.24,1160293431.94,1159192969.92,526864048.18,4690492822.9,877856438.91,21.8218,11.0275,0.2699,2.25,2022
920792.BJ,679578474.08,147800525.34,148171340.57,111707835.67,1082021566.88,267296992.05,15.9941,5.0913,1.0083,0.77,2022
600255.SH,3093453741.62,128597638.25,133979056.71,97712741.46,3857089865.56,1130504068.12,7.3268,0.7797,0.7208,0.05,2022
000795.SZ,4732204938.46,269043507.29,268166862.95,258542665.81,4954433538.25,776748177.36,9.9868,2.3835,0.9356,0.2287,2022
000063.SZ,122954418000.0,8794834000.0,8751656000.0,8080295000.0,180953574000.0,12913313000.0,14.675,12.3817,5.4671,1.71,2022
603093.SH,6822727861.85,295548848.61,294833394.82,246059665.03,34189185331.41,229076772.13,7.7448,5.4364,1.9518,0.4033,2022
600433.SH,8085974268.48,511418759.25,511779217.63,387105126.43,9899205336.22,3507047264.18,7.5177,2.8667,0.4812,0.21,2022
603169.SH,4980330938.98,178368946.04,185225775.56,175933175.85,11706128124.7,2194481452.93,5.7655,2.4039,1.9268,0.1347,2022
688621.SH,676606392.42,169274053.6,169137774.7,155949739.38,1463093783.1,142743957.72,18.8045,11.2087,6.2481,1.95,2022
600665.SH,10552345745.98,1065378907.29,1066476167.13,342665522.52,40308112494.37,119243161.3,8.0189,5.0779,0.2398,0.3965,2022
600963.SH,9781493307.83,735106715.56,730885559.72,615560638.35,16620717977.39,3668974240.82,6.8587,5.0972,3.1038,0.35,2022
688786.SH,427662763.11,108778944.18,108342151.06,98795342.26,882757313.88,127653630.12,15.6146,7.7148,4.1282,1.16,2022
301071.SZ,906275142.84,536193417.0,536237374.84,460241381.02,6205654319.16,997795663.79,14.8124,36.2747,28.9059,3.57,2022
002014.SZ,3304135248.82,405392716.08,407725068.91,362828955.63,3572752541.11,952339738.95,16.4648,3.7204,0.8339,0.6,2022
600211.SH,2554609066.22,464652986.13,463392057.7,369808047.91,4099412305.94,395872508.36,13.1089,12.1472,5.1067,1.49,2022
600113.SH,918164559.83,234276375.6,257853427.54,160238209.52,2857330340.14,263040476.22,7.5027,5.2649,0.8324,0.39,2022
605189.SH,2207590080.57,139143745.53,181805748.98,162899421.43,3100252407.94,515415792.48,10.1124,13.1032,6.5998,1.31,2022
